iter	Passed	Remaining
476	646	708
477	647	706
478	647	704
479	648	703
480	649	701
481	650	699
482	651	697
483	652	695
484	653	694
485	654	692
486	655	690
487	656	688
488	657	687
489	659	686
490	661	685
491	662	683
492	663	682
493	665	681
494	666	679
495	667	678
496	668	676
497	669	674
498	670	672
499	671	671
500	672	669
501	675	669
502	676	668
503	677	666
504	678	664
505	678	662
506	679	661
507	680	659
508	681	657
509	682	655
510	683	654
511	684	652
512	685	650
513	686	649
514	687	647
515	690	647
516	691	645
517	692	644
518	693	642
519	694	640
520	695	639
521	696	637
522	697	635
523	697	634
524	698	632
525	699	630
526	700	629
527	701	627
528	702	625
529	705	625
530	706	624
531	707	622
532	708	620
533	709	619
534	710	617
535	711	615
536	712	614
537	713	612
538	713	610
539	714	608
540	715	607
541	716	605
542	717	604
543	719	603
544	721	601
545	722	600
546	723	598
547	724	597
548	725	595
549	726	594
550	727	592
551	728	590
552	729	589
553	730	587
554	731	586
555	732	584
556	734	584
557	735	582
558	736	580
559	737	579
560	738	577
561	739	575
562	739	574
563	740	572
564	741	571
565	742	569
566	743	567
567	744	566
568	745	564
569	746	562
570	747	561
571	749	560
572	750	559
573	751	557
574	753	556
575	754	555
576	755	553
577	756	552
578	757	550
579	758	549
580	759	547
581	760	546
582	761	544
583	761	542
584	764	542
585	765	540
586	766	539
587	767	537
588	767	535
589	768	534
590	769	532
591	770	531
592	771	529
593	772	527
594	773	526
595	774	524
596	774	523
597	775	521
598	776	519
599	777	518
600	779	517
601	780	515
602	781	514
603	782	512
604	782	511
605	783	509
606	784	508
607	785	506
608	786	505
609	787	503
610	788	501
611	789	500
612	790	498
613	791	497
614	791	495
615	793	494
616	795	493
617	796	492
618	796	490
619	797	488
620	798	487
621	799	485
622	800	484
623	801	482
624	802	481
625	803	479
626	803	478
627	804	476
628	805	475
629	806	473
630	807	472
631	809	471
632	810	470
633	811	468
634	812	467
635	813	465
636	815	464
637	816	463
638	818	462
639	820	461
640	821	459
641	822	458
642	824	457
643	825	456
644	826	454
645	827	453
646	828	452
647	829	450
648	830	449
649	831	447
650	832	446
651	833	444
652	834	443
653	835	441
654	836	440
655	837	439
656	840	438
657	841	437
658	842	436
659	845	435
660	846	434
661	847	432
662	848	431
663	849	429
664	850	428
665	851	427
666	852	425
667	855	425
668	857	424
669	858	422
670	859	421
671	860	419
672	861	418
673	862	417
674	863	415
675	864	414
676	865	412
677	866	411
678	867	409
679	868	408
680	870	407
681	871	406
682	872	404
683	873	403
684	874	402
685	875	400
686	876	399
687	876	397
688	877	396
689	878	394
690	879	393
691	880	391
692	881	390
693	882	389
694	883	387
695	885	386
696	886	385
697	887	383
698	888	382
699	889	381
700	889	379
701	890	378
702	891	376
703	892	375
704	893	373
705	894	372
706	895	371
707	896	369
708	897	368
709	899	367
710	900	366
711	901	364
712	902	363
713	903	361
714	904	360
715	905	359
716	906	357
717	907	356
718	908	354
719	908	353
720	909	352
721	910	350
722	911	349
723	912	348
724	914	346
725	915	345
726	916	344
727	917	342
728	918	341
729	919	339
730	920	338
731	920	337
732	921	335
733	922	334
734	923	332
735	924	331
736	925	330
737	926	328
738	928	327
739	929	326
740	930	325
741	931	324
742	932	322
743	934	321
744	935	320
745	936	318
746	937	317
747	938	316
748	939	314
749	940	313
750	941	312
751	942	310
752	944	309
753	945	308
754	946	307
755	947	305
756	948	304
757	948	302
758	949	301
759	950	300
760	951	298
761	952	297
762	953	296
763	954	294
764	956	293
765	959	293
766	960	291
767	962	290
768	963	289
769	964	287
770	964	286
771	965	285
772	966	283
773	967	282
774	968	281
775	969	279
776	970	278
777	971	277
778	971	275
779	973	274
780	974	273
781	975	272
782	976	270
783	977	269
784	978	267
785	979	266
786	980	265
787	981	263
788	982	262
789	983	261
790	984	260
791	985	258
792	986	257
793	989	256
794	991	255
795	993	254
796	994	253
797	995	252
798	997	251
799	999	249
800	1001	248
801	1004	248
802	1006	246
803	1007	245
804	1009	244
805	1010	243
806	1011	242
807	1014	241
808	1015	239
809	1020	239
810	1022	238
811	1031	238
812	1032	237
813	1044	238
814	1045	237
815	1046	235
816	1047	234
817	1048	233
818	1049	231
819	1052	231
820	1053	229
821	1055	228
822	1056	227
823	1057	225
824	1058	224
825	1059	223
826	1060	221
827	1061	220
828	1062	219
829	1063	217
830	1064	216
831	1066	215
832	1067	214
833	1068	212
834	1069	211
835	1070	210
836	1071	208
837	1072	207
838	1073	206
839	1074	204
840	1075	203
841	1076	201
842	1077	200
843	1078	199
844	1079	197
845	1082	197
846	1083	195
847	1084	194
848	1085	193
849	1086	191
850	1087	190
851	1088	189
852	1089	187
853	1090	186
854	1091	185
855	1092	183
856	1093	182
857	1094	181
858	1095	179
859	1097	178
860	1098	177
861	1100	176
862	1101	174
863	1103	173
864	1104	172
865	1106	171
866	1107	169
867	1108	168
868	1109	167
869	1113	166
870	1114	165
871	1118	164
872	1120	162
873	1121	161
874	1122	160
875	1123	159
876	1125	157
877	1128	156
878	1129	155
879	1130	154
880	1131	152
881	1132	151
882	1134	150
883	1135	148
884	1135	147
885	1136	146
886	1137	144
887	1138	143
888	1139	142
889	1140	140
890	1142	139
891	1144	138
892	1145	137
893	1146	135
894	1147	134
895	1147	133
896	1148	131
897	1149	130
898	1150	129
899	1151	127
900	1152	126
901	1153	125
902	1154	123
903	1154	122
904	1156	121
905	1158	120
906	1159	118
907	1160	117
908	1160	116
909	1161	114
910	1162	113
911	1163	112
912	1164	110
913	1165	109
914	1166	108
915	1166	107
916	1167	105
917	1168	104
918	1169	103
919	1170	101
920	1172	100
921	1173	99
922	1174	97
923	1175	96
924	1176	95
925	1177	94
926	1178	92
927	1178	91
928	1179	90
929	1180	88
930	1181	87
931	1182	86
932	1183	84
933	1184	83
934	1185	82
935	1187	81
936	1188	79
937	1189	78
938	1190	77
939	1190	76
940	1191	74
941	1192	73
942	1193	72
943	1194	70
944	1195	69
945	1196	68
946	1197	66
947	1198	65
948	1198	64
949	1199	63
950	1200	61
951	1202	60
952	1203	59
953	1204	58
954	1205	56
955	1206	55
956	1207	54
957	1208	52
958	1209	51
959	1210	50
960	1211	49
961	1212	47
962	1212	46
963	1213	45
964	1214	44
965	1217	42
966	1218	41
967	1219	40
968	1221	39
969	1222	37
970	1223	36
971	1224	35
972	1225	34
973	1226	32
974	1227	31
975	1228	30
976	1229	28
977	1232	27
978	1233	26
979	1234	25
980	1235	23
981	1236	22
982	1237	21
983	1238	20
984	1239	18
985	1240	17
986	1241	16
987	1242	15
988	1243	13
989	1244	12
990	1245	11
991	1247	10
992	1248	8
993	1249	7
994	1250	6
995	1251	5
996	1252	3
997	1253	2
998	1254	1
999	1255	0
